${no},${level_approve},${round},${field},${value},${uuid},${type_field}
24,A2,NR5,HB ในประเทศ/ต่างประเทศ (Production),Z1: ผลิตในประเทศ,4c34a311-51f4-4c4c-9bea-d0f11d941bda,drop down
25,A2,NR5,การจัดกลุ่มสินค้า (Item indicator),4: สินค้าปกติ,7742800e-7944-4251-9e53-b54e7e071a8b,drop down
26,A2,NR6,รุ่นเหล็ก (Mdes Catary4 ),12อ: แบนรีด 12อ,e85271b4-cbac-480b-a301-ffeb8b8b8e16,drop down
27,A2,NR6,สินค้าต้องระวังพื้นที่จัดเก็บ(Mdse catgry3),01: สารเคมี,67ffb08f-e775-40be-8356-99dd8708071c,drop down
28,A2,NR6,น้ำหนักสูงสุด หน่วยคู่ขนาน (Net contents),1234,7867a800-ddf8-4733-890c-556a492df6dd,drop down
29,A2,NR6,ประเภทหน่วยคู่ขนาน (Price Band Cat.),1: Zinc (สังกะสี),7d2f04cf-e185-4eca-b32e-aa6d3f345288,drop down
30,A2,NR6,กลุ่มย่อยของ Product Role,01: สินค้าฤดูกาล,ca98953b-03c6-445b-83bd-da790829ccaf,drop down
31,A2,NR7,Product trends,01: นวัตกรรม,e304c756-65b1-4381-9600-c566e800ac7d,drop down
32,A2,NR7,กลุ่มจัดซื้อในประเทศ (Purch. Group),101: คุณนาตยา,1dd20e62-1ea3-4026-b6f5-148c690cc301,drop down
33,A2,NR7,แหล่งกำเนิดสินค้า (Reg. of origin),01: Buenos Aires,87623ec3-48ad-4013-a340-e162e7029ee1,drop down
34,A2,NR7,อายุสินค้าที่รับสินค้าได้ (remaining shelf life),1234,cd0287b3-cc6b-4e91-94d1-24d3e9eefd90,drop down
35,A2,NR7,สินค้าต้องrepack/ติดบาร์โค๊ด (repack),01: สินค้าต้อง repack ติดบาร์โค๊ด,28361478-094e-4c36-9ace-84b1a06b9241,drop down
36,A2,NR8,ชื่อค้นหาสินค้า (Search Name),Test,d108e5f3-811b-4f7b-802c-9cad3fe58fa7,input text
37,A2,NR8,สินค้าที่ต้องระบุ serial (Serial Number Profile),ZSD1: Serial SD Sell only,d659c2a7-8850-4b8e-8db5-bcb346e122ab,drop down
38,A2,NR8,พนักงาน Shipping,1036344: จิรารัตน์ อารีย์,fba89cf3-9cc9-472b-865c-0d8edab7a696,drop down
39,A2,NR8,สถานะราย site (P-S artl status),01: Blocked for procment/whse,466f0303-68e2-4d65-bebe-8582d354417e,drop down
40,A2,NR8,สถานะซื้อสินค้า (Status purchase),01: Blocked for procment/whse,7665fda3-d881-4d21-aaa5-27800120f303,drop down
41,A2,NR9,สถานะขายสินค้า (Status Sale),01: Discontd w/o Replace,3c7d536c-0344-4282-baeb-8b8dbb0975c9,drop down
42,A2,NR9,ต้องมี Stock ตัวโชว์,No: สินค้าไม่ต้องมีตัวโชว์,7987ebf4-57b2-4c79-90be-c53bc955abe2,drop down
43,A2,NR9,หมายเหตุการเลิกขายสินค้า (Sub indicator),L: สินค้าบล็อครุ่น,b0feee85-4b40-45f2-8f26-69b0f39770f1,drop down
44,A2,NR9,ประเภทภาษีขาย (Tax class.),0: No tax,51282b64-d937-450a-951c-335a4b171c8e,drop down
45,A2,NR9,อุณหภูมิการเก็บรักษา (Temperature),1234,295a7cd2-a0dc-43dc-a88d-2865383de989,input number
46,A2,NR10,ชื่อสินค้าภาษาไทย (Thai Name),Test_QA,af65e618-5adb-4fa6-9441-435966341c1c,input text
47,A2,NR10,อายุสินค้าทั้งหมด (total shelf life),1234,e6bee95f-3d9a-4731-a928-96ff25933f95,input number
48,A2,NR10,เครื่องหมายการค้า (Tradmark),HBNTM: สินค้า HB ไม่มี Trademark,2fdd67d8-47f2-41e1-a935-4829e255a876,drop down
